fold,station_set,seed,model,horizon_days,threshold_name,threshold_m,hits,misses,false_alarms,POD_recall,FAR,CSI,F1,event_count,mean_peak_magnitude_error_m,mean_absolute_peak_timing_error_days,evidence_class
final_period,S4,52,lstm,10,train_q90,8.309000000000006,52,8,7,0.8666666666666667,0.11864406779661017,0.7761194029850746,0.8739495798319328,1,-0.21424174308776855,9.0,exploratory
final_period,S4,52,lstm,10,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.3833852624893197,4.5,exploratory
final_period,S4,52,lstm,11,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,11,train_q90,8.309000000000006,51,9,7,0.85,0.1206896551724138,0.7611940298507462,0.864406779661017,1,-0.2957626533508311,10.0,exploratory
final_period,S4,52,lstm,11,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.5640370845794687,4.5,exploratory
final_period,S4,52,lstm,12,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,12,train_q90,8.309000000000006,50,10,8,0.8333333333333334,0.13793103448275862,0.7352941176470589,0.847457627118644,1,-0.3656960678100596,11.0,exploratory
final_period,S4,52,lstm,12,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.6261772966384891,3.5,exploratory
final_period,S4,52,lstm,13,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,13,train_q90,8.309000000000006,47,13,9,0.7833333333333333,0.16071428571428573,0.6811594202898551,0.8103448275862069,1,-0.4298749160766615,12.0,exploratory
final_period,S4,52,lstm,13,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.6685703229904183,4.0,exploratory
final_period,S4,52,lstm,14,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,52,lstm,14,train_q90,8.309000000000006,43,17,10,0.7166666666666667,0.18867924528301888,0.6142857142857143,0.7610619469026548,1,-0.47379009246826165,13.0,exploratory
final_period,S4,52,lstm,14,train_q95,9.508999999999997,0,14,0,0.0,,0.0,0.0,2,-0.7124621486663827,4.0,exploratory
final_period,S4,62,lstm,1,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,1,train_q90,8.309000000000006,60,0,3,1.0,0.047619047619047616,0.9523809523809523,0.975609756097561,1,0.2395299434661844,0.0,exploratory
final_period,S4,62,lstm,1,train_q95,9.508999999999997,14,0,13,1.0,0.48148148148148145,0.5185185185185185,0.6829268292682927,2,0.2713577222824082,0.0,exploratory
final_period,S4,62,lstm,2,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,2,train_q90,8.309000000000006,60,0,3,1.0,0.047619047619047616,0.9523809523809523,0.975609756097561,1,0.26203607559204123,1.0,exploratory
final_period,S4,62,lstm,2,train_q95,9.508999999999997,14,0,13,1.0,0.48148148148148145,0.5185185185185185,0.6829268292682927,2,0.29562030315399035,1.0,exploratory
final_period,S4,62,lstm,3,official_alarm,11.4,0,0,0,,,,,0,,,exploratory
final_period,S4,62,lstm,3,train_q90,8.309000000000006,60,0,4,1.0,0.0625,0.9375,0.967741935483871,1,0.26933495521545225,2.0,exploratory
